"event_key","talk_title","author_keys","slideshare","youtube","vimeo","sessionize_url",
"sidtd2016","Azure SQL Database","[""ghotz""]",,,,,
"ss495","Azure SQL Database","[""ghotz""]",,,,,
"ss495","SQL Server 2016 Temporal Database Support","[""ghotz""]",,,,,
"sidtd2016","SQL Server 2016 Upgrade from 20xx","[""ghotz""]",,,,,
"1n0ts","SQL Server Extended Events Monitoring & Tuning","[""ghotz""]",,,,,
"cmd16","SQL Server 2016 e Azure SQL Database","[""ghotz""]",,,,,
"ss566","SQL Server Extended Events Monitoring & Tuning","[""ghotz""]",,,,,
"wpc2016","Supporto ai database temporali in SQL Server 2016","[""ghotz""]",,,,,
"sidtd2017","Azure SQL Server What's New","[""ghotz""]",,,,,
"ss589","Securing SQL Server 2016 Databases","[""ghotz""]",,,,,
"sid2017","SQL Server Come Metterlo in Sicurezza e Mitigare i Rischi","[""ghotz""]",,,,,
"sid2017","Installare SQL Server su Linux","[""ghotz""]",,,,,
"ss675","SQL Server and GDPR","[""ghotz""]",,,,,
"wpc2017","What's New in SQL Server 2017","[""ghotz"";""fdiaz""]",,,,,
"ss707","SQL Server Database Engine 2017 Enhancements","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-database-engine-2017-enhancements/118701429",,"https://vimeo.com/260973943",,
"dlwks1802","SQL Server and GDPR","[""ghotz""]",,,,,
"xe201804","RDBMS - Pregi e difetti","[""ghotz""]","https://www.slideshare.net/ghotz/rdbms-pregi-e-difetti",,,,
"gabvr2018","Azure SQL Database","[""ghotz""]",,,,"https://sessionize.com/s/ghotz/azure-sql-database/19137",
"gabvr2018","SQL Server & GDPR","[""ghotz""]",,,,"https://sessionize.com/s/ghotz/sql-server-gdpr/19136",
"ss728","SQL Server & GDPR","[""ghotz""]","https://www.slideshare.net/ghotz/sql-server-gdpr",,,,
"psitvg18","Novità di SQL Server 2017","[""ghotz""]","https://www.slideshare.net/ghotz/novit-di-sql-server-2017-118927137","https://youtu.be/72SGLIr0bwg?t=184",,,
"xeod2018","Best practices on SQL Server","[""ghotz""]","https://www.slideshare.net/ghotz/best-practices-on-sql-server-118928033",,,,
"as2018pn","Azure PaaS Databases","[""ghotz""]","https://www.slideshare.net/ghotz/azure-paas-databases-118928524",,,"https://sessionize.com/s/ghotz/azure-paas-databases/163291",
"ss777","AlwaysOn in SQL Server 2017","[""ghotz""]","https://www.slideshare.net/slideshow/always-on-in-sql-server-2017-133136311/133136311",,,,
"wpc2018","Mettere in sicurezza ambienti SQL Server","[""ghotz""]",,,,"https://sessionize.com/s/ghotz/mettere-in-sicurezza-ambienti-sql-server/163292",
"wpc2018","SQL On-Premises vs SQL On-Cloud","[""ghotz""]",,,,"https://sessionize.com/s/ghotz/sql-on-premises-vs-sql-on-cloud-un-confronto-prati/163293",
"ss829","SQL Server 2019 CTP2.2","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-2019-ctp22/133137116",,"https://vimeo.com/320490369",,
"ss829","SQL Server Modernization","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-modernization/133136719",,,,
"sst2019","SQL Server 2019 CTP2.4","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-2019-ctp24/139877771",,"https://vimeo.com/ugiss/sql2019ctp4","https://sessionize.com/s/ghotz/sql-server-2019-ctp-2.3/37402",
"sst2019","Mettere in sicurezza ambienti SQL Server","[""ghotz""]","https://www.slideshare.net/slideshow/mettere-in-sicurezza-ambienti-sql-server/139878256",,"https://vimeo.com/ugiss/start2019security","https://sessionize.com/s/ghotz/mettere-in-sicurezza-ambienti-sql-server/163292",
"gabmi2019","Azure PaaS Databases","[""ghotz""]","https://www.slideshare.net/slideshow/azure-paas-databases-147906974/147906974",,,"https://sessionize.com/s/ghotz/azure-paas-databases/163291",
"gabvr2019","Azure PaaS Databases","[""ghotz""]","https://www.slideshare.net/slideshow/azure-paas-databases-147906312/147906312",,,"https://sessionize.com/s/ghotz/azure-paas-databases/163291",
"ss871","SQL Saturday 871 - Keynote","[""ghotz""]",,,,,
"ss871","SQL Server 2019 CTP 2.5","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-2019-ctp-25/147956890",,"https://vimeo.com/ugiss/sqlserver2019ctp25",,
"xeod2019","SQL Server Workload Profiling","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-workload-profiling/148033995",,"https://vimeo.com/338886164",,
"passtour2019","Modernizing with SQL Server 2019 and Intel","[""ghotz"";""ddominici""]",,,,,
"passtour2019","Modernizing SQL Server The Right Way","[""ghotz"";""ddominici""]",,,"https://vimeo.com/ugiss/sql2008-eos",,
"damag1909","Le novità di SQL Server 2019","[""ghotz""]","https://www.slideshare.net/ghotz/le-novit-di-sql-server-2019",,,,
"as2019pn","Azure SQL Database","[""ghotz""]","https://www.slideshare.net/slideshow/azure-sql-database-182308290/182308290",,"https://vimeo.com/ugiss/azuresqldb19","https://sessionize.com/s/ghotz/azure-sql-database/19137",
"ss895","Successfully Virtualizing  SQL Server on vSphere - Straight from the Source","[""ghotz""]",,,,,
"ss895","SQL Server Modernization","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-modernization-197077424/197077424",,"https://vimeo.com/ugiss/sqlmodernization",,
"wpc2019","Technical Keynote","[""ghotz""]",,,,,
"wpc2019","SQL Server Data Virtualization with Polybase","[""ghotz""]",,,,"https://sessionize.com/s/ghotz/sql-server-data-virtualization-with-polybase/32814",
"mstr1912","Modernizing Data Estate with Azure SQL Database and SQL Server 2019 ","[""ghotz""]",,,,,
"psitvg20","SQL Server Modern Query Processing","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-modern-query-processing/232115952",,,,
"ss921","SQL Server Data Virtualization with Polybase","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-data-virtualization-with-polybase/234760297","https://www.youtube.com/watch?v=-pHCyu32tf8",,,
"sst2020","SQL Server Data Virtualization with polybase","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-data-virtualization-with-polybase-250265736/250265736",,"https://vimeo.com/ugiss/polybase?share=copy","https://sessionize.com/s/ghotz/sql-server-data-virtualization-con-polybase/37400",
"ugiss2012","SQL Server Failover Cluster Instances con Amazon FSx in AWS","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-failover-cluster-instances-con-amazon-fsx-in-aws/250267606",,,,
"wpc2020","Azure - Quale Engine SQL Scegliere","[""ghotz"";""lferrari""]",,,,,
"1n0ah","SQL Server Back to Basics - Sicurezza","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-back-to-basics-sicurezza/250267646",,,,
"ds01","SQL Server Failover Cluster Instances con Azure Managed Disks","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-failover-cluster-instances-con-azure-managed-disks/250267666",,,"https://sessionize.com/s/ghotz/sql-server-failover-instances-con-azure-managed-di/163290",
"sst2021","SQL Server Modern Query Processing","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-modern-query-processing-250267678/250267678","https://www.youtube.com/watch?v=jh3CJ1ns0JQ","https://vimeo.com/ugiss/sqlserveraws",,
"sst2021","SQL Server in AWS","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-in-aws/250267673","https://www.youtube.com/watch?v=3hpPpK-qUM0","https://vimeo.com/ugiss/sqlserveraws","https://sessionize.com/s/ghotz/sql-server-in-aws/163289",
"cmd21","Azure SQL Database Ledger","[""ghotz""]","https://www.slideshare.net/slideshow/azure-sql-database-ledger/250267690",,,,
"aws2109","Come utilizzare AWS DMS per migrare SQL Server ad Amazon RDS","[""ghotz""]","https://www.slideshare.net/slideshow/come-utilizzare-aws-database-migration-service-per-migrare-sql-server-ad-amazon-rds/250267712",,,,
"cd21","SQL Server in AWS","[""ghotz""]","https://www.slideshare.net/slideshow/sql-server-in-aws-251477824/251477824",,,"https://sessionize.com/s/ghotz/sql-server-in-aws/163289",
"awsemea21","Best Practices for Running Microsoft SQL Server on AWS","[""ghotz""]","https://www.slideshare.net/slideshow/best-practices-for-running-microsoft-sql-server-on-aws/251477837",,,,
"aws2111","Come utilizzare AWS DMS per migrare SQL Server ad Amazon Aurora","[""ghotz""]","https://www.slideshare.net/slideshow/come-utilizzare-aws-dms-per-migrare-sql-server-ad-amazon-aurora/251477842",,,,
"ds20","Azure SQL Database Ledger","[""ghotz""]","https://www.slideshare.net/slideshow/azure-sql-database-ledger-251477845/251477845",,,"https://sessionize.com/s/ghotz/azure-sql-database-ledger/163287",
"sst2022","Data Integrity with SQL Database Ledger","[""ghotz""]","https://www.slideshare.net/ghotz/data-integrity-with-sql-database-ledger","https://www.youtube.com/watch?v=SEw5GAgJKO0","https://vimeo.com/ugiss/data-integrity-ledger","https://sessionize.com/s/ghotz/data-integrity-con-sql-database-ledger/163297",
"bbup22","Un caso reale - meccanismi anticontraffazione","[""ghotz""]",,,,,
"wpc2022","IaaS and PaaS relational databases in the cloud","[""ghotz"";""fdiaz""]","https://www.slideshare.net/ghotz/iaas-and-paas-relational-databases-in-the-cloud",,,"https://sessionize.com/s/ghotz/iaas-and-paas-relational-databases-in-the-cloud/163286",
"ds22","Le novità di SQL Server 2022","[""ghotz""]","https://www.slideshare.net/ghotz/le-novit-di-sql-server-2022","https://youtu.be/d9ornb8vWnw","https://vimeo.com/ugiss/sql2022news","https://sessionize.com/s/ghotz/le-novita-di-sql-server-2022/136998",
"ds31","SQL Server 2022 Intelligent Query Processing","[""ghotz""]","https://www.slideshare.net/ghotz/sql-server-2022-intelligent-query-processing","https://youtu.be/HGPjZkV3iqo","https://vimeo.com/ugiss/sql2022iqp","https://sessionize.com/s/ghotz/sql-server-2022-intelligent-query-processing/163285",
"sst2023","SQL Server 2022 Programmability & Performance","[""ghotz""]",,,,"https://sessionize.com/s/ghotz/sql-server-2022-programmability-performance/163278",
"ds37","SQL Server PaaS","[""ghotz""]","https://www.slideshare.net/slideshows/microsoft-sql-server-paas-platform-as-a-service/266563226",,,"https://sessionize.com/s/ghotz/sql-server-paas/163279",
"wpc2023","Multitenancy con SQL Server e Azure SQL Database","[""ghotz""]","https://www.slideshare.net/secret/GihuB7JMzA2eLO",,,"https://sessionize.com/s/ghotz/multitenancy-con-sql-server-e-azure-sql-database/104544",
"ds48","Multitenancy con SQL Server e Azure SQL Database","[""ghotz""]","https://www.slideshare.net/slideshows/multitenancy-con-sql-server-e-azure-sql-database-5f01/266563309",,,"https://sessionize.com/s/ghotz/multitenancy-con-sql-server-e-azure-sql-database/104544",
"wpc2024","Azure Database Fleet Manager","[""ghotz""]","https://www.slideshare.net/slideshow/azure-sql-database-fleet-manager-preview/286375726",,,"https://sessionize.com/s/ghotz/azure-database-fleet-manager/104548",
"ds66","Fondamenti sulla Sicurezza in SQL Server","[""ghotz""]","https://www.slideshare.net/slideshow/fondamenti-sulla-sicurezza-in-sql-server/286375819",,,"https://sessionize.com/s/ghotz/fondamenti-di-sql-server-sicurezza/125845",
"xe2025","Database temporali con SQL Server","[""ghotz""]","https://www.slideshare.net/slideshow/database-temporali-con-sql-server-xe-sql-night/286375856",,,,
"sst2025","Fondamenti di SQL Server - concorrenza, locking e isolamento","[""ghotz""]","https://www.slideshare.net/slideshow/fondamenti-di-sql-server-concorrenza-locking-e-isolamento-ed45/286376242",,,"https://sessionize.com/s/ghotz/fondamenti-di-sql-server-concorrenza-locking-e-iso/140262",
"sst2025","Fondamenti di SQL Server - metodi di accesso ai dati","[""ghotz""]","https://www.slideshare.net/slideshow/fondamenti-di-sql-server-metodi-di-accesso-ai-dati/286376265",,,"https://sessionize.com/s/ghotz/fondamenti-di-sql-server-metodi-di-accesso-ai-dati/140260",
"ds77","Data Virtualization con Azure SQL Database","[""ghotz""]","https://www.slideshare.net/slideshow/data-virtualization-con-azure-sql-database-2e24/286376307",,,"https://sessionize.com/s/ghotz/data-virtualization-con-azure-sql-database/143378",
"wpc2025","SQL Server 2025 - amministrazione e prestazioni","[""ghotz""]",,,,"https://sessionize.com/s/ghotz/sql-server-2025-amministrazione-e-prestazioni/143381",
"ds80","SQL Server 2025 - amministrazione e prestazioni","[""ghotz""]",,,,"https://sessionize.com/s/ghotz/sql-server-2025-amministrazione-e-prestazioni/143381",
